"","cbsa_code","cbsa_name","cbsa_size","cbsa_emp","pct_struggle","n_struggle","n_all","n_kids","kids","kids_fam","fam","pct_kids_gap"
"76","17780","College Station-Bryan, TX","midsized metros",75731,0.476197052418973,13203.099,49009.887,27922.398,20.9729610961538,22.2173020192308,14.3723403076923,0.647157531261967
"77","17820","Colorado Springs, CO","large metros",248023,0.458663274147294,37585.162,104297.146,81403.324,21.0030793269231,21.0030793269231,13.8181319807692,0.420514008781444
"78","17860","Columbia, MO","small metros",79836,0.402257903286268,8370.102,38938.385,15849.685,21.8069365384615,22.2102654230769,14.14093275,0.487729658299514
"79","17900","Columbia, SC","large metros",295371,0.464005515384448,42737.692,114135.2,83365.101,21.8899098449154,22.2571340576923,14.2813801153846,0.386413019558454
"80","17980","Columbus, GA-AL","midsized metros",98432,0.581793743084691,19337.572,46422.285,35270.115,20.8294908461538,20.8294908461538,13.8022189038462,0.471617817376463
"81","18020","Columbus, IN","small metros",48314,0.375919439579685,2786.157,9834.297,4778.587,22.5652984423077,22.5874775429583,13.9459049807692,0.203549633646562
"82","18140","Columbus, OH","very large metros",874951,0.361610560812434,87375.374,248656.02,171851.246,21.1743208180433,22.0300111218282,12.9756803461538,0.284194223447942
"83","18580","Corpus Christi, TX","midsized metros",160232,0.524042732734408,23592.898,61529.56,42996.223,20.9872922884615,21.5642153653846,14.1205658846154,0.384002945728693
"84","18700","Corvallis, OR","small metros",28322,0.437736052659976,3415.573,13661.029,6158.809,17.6621069711538,17.6621069711538,14.7648379423077,0.482346903467269
"85","18880","Crestview-Fort Walton Beach-Destin, FL","midsized metros",82799,0.489547258101997,13566.784,45972.2,27490.192,21.4226059519231,16.5550625576923,15.83379525,0.555226512397493
"86","19060","Cumberland, MD-WV","small metros",29972,0.449465199444458,4171.5,9844.62,8160.425,20.9188858461538,20.9189187859624,13.3032314230769,0.328460563192313
"87","19100","Dallas-Fort Worth-Arlington, TX","very large metros",3143990,0.438490155257813,390592.005,1052355.181,794152.176,22.0599670192308,22.0599670192308,14.6524872307692,0.334719633650234
"88","19140","Dalton, GA","small metros",55284,0.591815893210439,9837.784,24326.432,22104.76,17.066642375,17.066642375,13.6333956730769,0.440026626148614
"89","19180","Danville, IL","small metros",24093,0.536156212002003,3740.504,9415.631,7861.745,19.2261715480769,22.2360903076923,13.3135592115385,0.390803594405014
"90","19300","Daphne-Fairhope-Foley, AL","small metros",61792,0.484052613480055,11261,29892,17872,22.0748367591197,22.20875825,15.6087507884615,0.483751941998964
"91","19340","Davenport-Moline-Rock Island, IA-IL","midsized metros",157879,0.422265502300407,16806.683,44815.408,33855.653,21.4121351923077,22.1366093269231,13.0844472307692,0.283859208634461
"92","19460","Decatur, AL","small metros",46522,0.448324022346369,6741,20841.868,12379,19.4680875447799,19.5363486923077,12.9417809807692,0.448000257942479
"93","19500","Decatur, IL","small metros",44389,0.419414827671708,3383,12217,5978,20.5043312029473,21.2280663281155,13.0629478076923,0.27522584424069
"94","19660","Deltona-Daytona Beach-Ormond Beach, FL","large metros",168368,0.518317559085203,28488.288,89506.072,51462.576,21.1970136153846,22.2658948846154,13.7248381346154,0.531609759574266
"95","19740","Denver-Aurora-Lakewood, CO","very large metros",1280402,0.40466935600872,128434.254,409109.782,242950.006,25.7139466904377,26.8489246153846,16.2205188653846,0.319516668983647
"96","19780","Des Moines-West Des Moines, IA","large metros",319894,0.348310715553036,30813.483,72883.399,60113.538,20.0905233424643,22.1260164038462,13.1693255384615,0.227836092580667
"97","19820","Detroit-Warren-Dearborn, MI","very large metros",1761974,0.390810156339991,176709.294,478254.006,329732.952,21.6625553653846,20.9229128846154,13.1754501442308,0.271430796368164
"98","20020","Dothan, AL","small metros",50838,0.565457063711911,7961.07,20535.573,15579.66,20.0399606486014,15.8590611346154,13.8405116346154,0.403941402100791
"99","20100","Dover, DE","small metros",52481,0.55536653263223,10773,27535,18817,20.7523264903846,20.5649412510039,15.6634327884615,0.524666069625198
"100","20220","Dubuque, IA","small metros",54767,0.336391437308869,3379.53,11570.658,5533.275,19.6653950042735,21.6699784519718,13.1278935,0.211270619168477
"101","20260","Duluth, MN-WI","midsized metros",111555,0.408633712630777,12300.464,38849.019,23158.051,20.0402349121332,18.6428139903846,14.1531601346154,0.348249912599166
"102","20500","Durham-Chapel Hill, NC","large metros",260651,0.496207531200881,34165.985,96077.336,63403.333,24.6437567307692,24.6437567307692,15.1984350384615,0.368605284460831
"103","20700","East Stroudsburg, PA","small metros",49290,0.508672294704528,9942,26121,19033,20.4133147234226,25.8234064230769,15.4913275384615,0.529945222154595
"104","20740","Eau Claire, WI","small metros",72741,0.404029048705885,6844.404,19916.144,13230.104,20.4558774634157,21.6267748126292,12.9846824038462,0.27379530113691
"105","20940","El Centro, CA","small metros",32109,0.610340041637752,8795,19721,18637,24.0976904935315,23.1689883930983,17.9220394160182,0.614189168146003
"106","21060","Elizabethtown-Fort Knox, KY","small metros",42854,0.470609852150047,6756.54,16863.706,13845.616,20.1322261153846,21.6471374230769,13.0917029615385,0.393515331124282
"107","21140","Elkhart-Goshen, IN","small metros",132095,0.518736842105263,8624,24468,16888,18.6286090480769,19.4478403224822,12.3848289038462,0.185230326658844
"108","21300","Elmira, NY","small metros",30377,0.496014896638413,4006.041,10420.692,7722.111,21.8815129807692,19.4440544154901,14.3990821730769,0.343045462027192
"109","21340","El Paso, TX","large metros",237730,0.598570584982785,59434.16,124675.59,116659.186,20.2306788076923,20.2306788076923,15.6766302651941,0.524441971985025
"110","21420","Enid, OK","small metros",21514,0.551194428171581,4454.168,7953.12,9324.402,21.0181618846154,27.5974990961538,27.5974990961538,0.369671841591522
"111","21500","Erie, PA","midsized metros",115178,0.422665893463673,10204,27260,21402,23.6483268653846,22.3149808332333,12.8816843076923,0.236677143204431
"112","21660","Eugene, OR","midsized metros",125153,0.515586513759038,19467,66242,34085,20.9643098039216,20.2268032873303,13.8317111153846,0.529288151302805
"113","21780","Evansville, IN-KY","midsized metros",144467,0.408196387312373,13886.408,36225.916,29396.528,20.078812460167,16.0740088461538,14.28855175,0.250755646618259
"114","21820","Fairbanks, AK","small metros",27095,0.713007867227072,7899.504,21364.242,15578.715,29.7404464210803,23.8312742818616,18.6860950384615,0.788493891861967
"115","22020","Fargo, ND-MN","small metros",122574,0.357223802108365,11078.63,36653.911,22660.538,22.7619947115385,24.7527694991618,12.7000678461538,0.299034958474065
"116","22140","Farmington, NM","small metros",34753,0.732690163045848,8232.133,17634.595,16003.617,19.0463422834465,19.0337947926952,13.8327412884615,0.507426553103329
"117","22180","Fayetteville, NC","midsized metros",98709,0.639128497815245,37070.68,94606.026,70318.614,23.5349555769231,23.2532576657656,15.4187379615385,0.958433638270067
"118","22220","Fayetteville-Springdale-Rogers, AR-MO","large metros",216155,0.40109795763892,27376.832,68462.728,60924.944,18.9266294997392,18.8972859615385,13.392028,0.316729791122111
"119","22380","Flagstaff, AZ","small metros",53114,0.577922682813228,6204,23026,13142,23.7041628011369,20.0685645859751,16.6043404615385,0.433520352449448
"120","22420","Flint, MI","midsized metros",121169,0.46945665311662,18797.719,44047.544,35076.51,20.1573070769231,20.1573070769231,12.3498441923077,0.363521560795253
"121","22500","Florence, SC","small metros",75608,0.483640340094243,9442.594,22670.62,18903.594,22.4338963552325,20.1782096538462,13.6824138076923,0.299844196381335
"122","22520","Florence-Muscle Shoals, AL","small metros",49018,0.525094000326958,7602.804,20538.491,14776.392,19.1877221346154,17.108020863676,13.4538074615385,0.418998959565874
"123","22540","Fond du Lac, WI","small metros",43479,0.352473498233216,4027.905,9618.516,7792.667,20.2862880409184,22.0235264423077,13.2871683846154,0.221222107224177
"124","22660","Fort Collins, CO","midsized metros",126470,0.312452555187806,10290,55512,19290,22.224913707265,18.5333770192308,15.4767385576923,0.43893413457737
"125","22900","Fort Smith, AR-OK","midsized metros",94834,0.5672670929106,15616.736,38549.184,30819.232,18.6855636538462,18.6855636538462,12.9813047115385,0.406491174051501
"126","23060","Fort Wayne, IN","midsized metros",200417,0.459634314167673,20857.598,54161.519,46143.543,18.7180403365385,18.6360528486889,12.4872036923077,0.270244135976489
"127","23420","Fresno, CA","large metros",261800,0.564399973913935,60581,143252,131206,22.5701871538462,22.5701871538462,14.5955747307692,0.547181054239878
"128","23460","Gadsden, AL","small metros",30604,0.65959318306762,5999,17669,12339,17.8819904068312,17.8709297821044,13.2744713076923,0.577342831002483
"129","23540","Gainesville, FL","midsized metros",96287,0.427884694607518,11581.039,48999.716,23544.521,23.2720854678708,22.1080744615385,14.3644571153846,0.508892332298233
"130","23580","Gainesville, GA","small metros",77461,0.488100123102175,9516,30439,19987,20.9506455369444,17.7861446285883,15.1206767115385,0.392959037451104
"131","23900","Gettysburg, PA","small metros",29070,0.459362834670692,4637.164,13881.818,8908.616,23.594030400145,23.6152268691788,16.3070313653846,0.477530718954248
"132","24020","Glens Falls, NY","small metros",42072,0.519069487616565,5176.68,17760.929,9847.36,23.2330023076923,22.8982446621301,14.9073151153846,0.422155566647652
"133","24140","Goldsboro, NC","small metros",33960,0.592036645525018,8401,18751,15857,22.8790136923077,24.7639755384615,14.6875833076923,0.552149587750294
"134","24220","Grand Forks, ND-MN","small metros",42714,0.403598718521659,4568.884,16214.406,10114.846,22.7386375,24.8549170192308,14.0491971153846,0.379604017418177
"135","24260","Grand Island, NE","small metros",36620,0.604435611944702,5223.729,11780.101,10934.544,22.7955086538462,22.7955086538462,18.327386875,0.321684898962316
"136","24300","Grand Junction, CO","small metros",52848,0.505647588767613,8002.984,24549.75,15747.066,19.7346013837862,18.0381806634615,14.5931589615385,0.464535081743869
"137","24340","Grand Rapids-Wyoming, MI","very large metros",502620,0.400514592029764,46527.503,132826.8,93928.913,19.9742029807692,21.1668286703876,12.9240071538462,0.264268831323863
"138","24420","Grants Pass, OR","small metros",23460,0.579408055782212,3889.878,10226.43,8218.494,20.8412425,21.04562480028,14.9482257115385,0.435909207161125
"139","24500","Great Falls, MT","small metros",30445,0.62187725631769,4762.989,13253.198,9248.925,21.3201599615385,24.7917562412175,14.1573022884615,0.435316078173756
"140","24540","Greeley, CO","midsized metros",85076,0.429908605676452,17125.678,44492.347,33450.372,24.4952161321817,24.5777874038462,14.4390614615385,0.522971778174808
"141","24580","Green Bay, WI","midsized metros",156929,0.394334303389454,15675.44,36032.164,31204.324,23.1126864143292,21.3627416346154,14.4898923269231,0.229608064793633
"142","24660","Greensboro-High Point, NC","large metros",323805,0.521933791429762,44105.895,118665.915,77296.655,23.0285915,23.0285915,14.6910505769231,0.36647338676055
"143","24780","Greenville, NC","small metros",60749,0.570430483151502,10614,36472,19218,22.9231673269231,22.9231673269231,14.8127078269231,0.600372022584734
"144","24860","Greenville-Anderson-Mauldin, SC","large metros",340562,0.400980554562936,37565.105,116407.043,72221.231,21.1284627307692,20.8948526153846,14.0084855961538,0.341808666263412
"145","25060","Gulfport-Biloxi-Pascagoula, MS","midsized metros",129690,0.506968624943872,21846.875,55036.65,41127.1,20.2525184038462,20.0552136538462,14.4753174230769,0.424370807309739
"146","25180","Hagerstown-Martinsburg, MD-WV","midsized metros",85339,0.524010909363601,15065.496,38038.485,27913.096,22.5775034038462,20.4662623078691,13.5474683173077,0.44573389657718
"147","25220","Hammond, LA","small metros",36408,0.52960910151692,8039.034,18895.752,15311.286,21.5368915,19.4401634547508,14.6475382692308,0.519
"148","25260","Hanford-Corcoran, CA","small metros",25053,0.659594400969911,11969,24824,26306,26.5017380961538,21.0312583866509,15.4669808076923,0.990859378118389
"149","25420","Harrisburg-Carlisle, PA","large metros",277210,0.502765285085187,30483.162,79413.882,61174.392,23.32346625,23.32346625,15.0158687739202,0.286475531185744
"150","25500","Harrisonburg, VA","small metros",51926,0.474731271704978,5741.4,23717.6,10960.8,19.024404339361,19.3326777403846,14.6995654230769,0.456757693640951
"151","25540","Hartford-West Hartford-East Hartford, CT","very large metros",549925,0.349563417814821,49322,153354,86679,22.8521333792848,20.8178381730769,14.6800783269231,0.278863481383825
"152","25620","Hattiesburg, MS","small metros",51305,0.59976067741736,8921.632,26624.447,19001.262,19.2080593632664,17.8677761826923,13.4624975961538,0.518944488841244
"153","25860","Hickory-Lenoir-Morganton, NC","midsized metros",135351,0.556517278583232,19871.164,53063.273,35401.621,21.0583935576923,20.6643573932921,14.0886393846154,0.392041972353363
"154","25940","Hilton Head Island-Bluffton-Beaufort, SC","small metros",63557,0.512836746143058,9141.315,29452.62,16964.355,26.5221791366257,26.6167167307692,16.5335212115385,0.463404817722674
"155","25980","Hinesville, GA","small metros",12320,0.508107972063172,5450.868,11585.139,12511.89,18.2750948370787,15.6351864389511,14.2557613846154,0.940352191558442
"156","26140","Homosassa Springs, FL","small metros",30047,0.574723926380368,4684,15775,9644,18.3094426124776,19.3102793295374,13.9707429615385,0.525010816387659
"157","26300","Hot Springs, AR","small metros",34587,0.52654730668313,4093.8,14247,8134.8,18.6598896224823,19.7180423269231,12.9861994230769,0.41191777257351
"158","26380","Houma-Thibodaux, LA","small metros",70218,0.508491052814376,11214.76,24921.66,19128.832,21.6039596346154,21.6039596346154,21.6039596346154,0.354918396992224
"159","26420","Houston-The Woodlands-Sugar Land, TX","very large metros",2599675,0.450686335502078,374335.823,937525.061,765048.661,23.3792588269231,22.3812454230769,14.1640798846154,0.360631640878187
"160","26580","Huntington-Ashland, WV-KY-OH","midsized metros",111457,0.478909451333936,14975.579,41057.786,27679.27,18.7426602866098,15.8973304170667,12.8757643653846,0.368373327830464
"161","26620","Huntsville, AL","midsized metros",181686,0.409196610550863,21139.128,53431.981,38835.348,19.943227905265,20.1975235377518,13.80631275,0.294089698710963
"162","26820","Idaho Falls, ID","small metros",54007,0.498778224318647,8208.082,20550.504,16245.05,18.8279108468612,20.5129315769231,13.0319354807692,0.380515562797415
"163","26900","Indianapolis-Carmel-Anderson, IN","very large metros",911388,0.394498995149924,88333.848,251668.589,177146.288,21.6101299015268,21.9354356153846,12.8310350576923,0.276137703151676
"164","26980","Iowa City, IA","small metros",70971,0.277352606387445,4756.22,30481.38,9405.64,18.1358512552683,21.6699029276642,14.4736371538462,0.429490637020755
"165","27060","Ithaca, NY","small metros",48258,0.403347819089007,2506,17433,5331,27.238973512574,28.4797157692308,17.4851218846154,0.361245803804551
"166","27100","Jackson, MI","small metros",50191,0.430707346690953,5675,19782,10963,20.9069114423077,22.4417354038461,13.5233942115385,0.394134406566914
"167","27140","Jackson, MS","large metros",221908,0.485918015617229,30788.213,85001.095,58480.939,22.252414,20.7275009615385,14.0162104615385,0.383046555329236
"168","27180","Jackson, TN","small metros",59169,0.5913562784349,11874.22,25964.438,22188.865,23.1677880384615,22.0414156730769,14.1250921153846,0.438818266321892
"169","27260","Jacksonville, FL","very large metros",577874,0.439514729964517,71582.74,197963.479,134406.604,21.4692666538462,21.4458850125677,13.1664475192308,0.342572046847583
"170","27340","Jacksonville, NC","small metros",35541,0.558635766428785,10519.145,34742.425,18205.815,19.1502242102778,18.7598022518825,15.2980369230769,0.97753087982893
"171","27500","Janesville-Beloit, WI","small metros",59475,0.315741105422082,4810,14960,9845,18.1347104711538,15.554482452415,10.3480940404203,0.251534258091635
"172","27620","Jefferson City, MO","small metros",53991,0.403675044209849,7532.98,17462.1,18151.086,19.0858786057692,18.9580597451473,13.2165126346154,0.323426126576652
"173","27740","Johnson City, TN","small metros",65563,0.390762291279081,7472.416,24127.07,14725.178,17.9286820865309,21.8000784272714,13.1801299423077,0.367998261214404
"174","27780","Johnstown, PA","small metros",46317,0.360573009930002,4430,11963,9690,19.740352,20.6060364807692,12.9364131923077,0.258285294816158
"175","27860","Jonesboro, AR","small metros",46190,0.539285764271136,7629.266,19761.296,15818.658,18.4777064615385,18.4777064615385,12.1461180384615,0.427826282745183
"176","27900","Joplin, MO","small metros",70980,0.511135293502145,9769.84,28535.55,19129.48,20.1222218162035,20.6915870192308,13.4474272115385,0.402022400676247
"177","27980","Kahului-Wailuku-Lahaina, HI","small metros",64947,0.607241836365827,7014.984,28399.584,13402.176,30.5940963461538,29.9786398100103,19.5050595769231,0.437273222781653
"178","28020","Kalamazoo-Portage, MI","midsized metros",125525,0.480952942563982,12234,39292,23554,20.191820666388,21.0935765192308,13.0317815961538,0.313021310495917
